iter	Logloss
0	0.6758315743
1	0.6599880286
2	0.644969565
3	0.6306880576
4	0.6169963014
5	0.6043716518
6	0.5927807252
7	0.5804349619
8	0.5697192242
9	0.5599032047
10	0.5493282697
11	0.5408767022
12	0.5327576144
13	0.5250243581
14	0.5178496818
15	0.5110118836
16	0.504701292
17	0.4985398354
18	0.4928178446
19	0.4872420528
20	0.482106481
21	0.4772818525
22	0.4727018328
23	0.4683318803
24	0.4642203682
25	0.4604508158
26	0.4564844152
27	0.4531340271
28	0.4500659369
29	0.4471105577
30	0.4442594788
31	0.441667801
32	0.4393816284
33	0.4367264127
34	0.4346725556
35	0.4324604499
36	0.4306436818
37	0.4286606364
38	0.4267271293
39	0.4248053191
40	0.4230865812
41	0.4214694233
42	0.4200393049
43	0.4185690174
44	0.4171892368
45	0.4159265108
46	0.4147353717
47	0.4133855301
48	0.4123818144
49	0.4111822286
50	0.4103145999
51	0.4093262505
52	0.4083330316
53	0.4075265049
54	0.4065180604
55	0.4057786026
56	0.4048260729
57	0.403860484
58	0.4032123651
59	0.4026321539
60	0.4018368863
61	0.4013392284
62	0.4009062107
63	0.4003196125
64	0.3996634399
65	0.3989214087
66	0.398564022
67	0.3979452967
68	0.3974930274
69	0.3970526562
70	0.3966861982
71	0.3961280443
72	0.395742712
73	0.3953492046
74	0.3948078638
75	0.394470307
76	0.3940739978
77	0.3937417469
78	0.3931661482
79	0.3928472275
80	0.3924263234
81	0.3920611052
82	0.3917301389
83	0.3913778927
84	0.3910696063
85	0.3907195749
86	0.3904937696
87	0.3901735787
88	0.3898964208
89	0.3896280492
90	0.3893703402
91	0.3891120862
92	0.3888814669
93	0.3885246811
94	0.3881800887
95	0.3878750886
96	0.3875689352
97	0.3871902446
98	0.3869023326
99	0.3866132033
100	0.3864935896
101	0.3861712781
102	0.385797015
103	0.3855514279
104	0.3854390953
105	0.3851389377
106	0.3849445559
107	0.3845775435
108	0.3843658197
109	0.3841655852
110	0.3838695266
111	0.3831703821
112	0.3830127159
113	0.3827770847
114	0.382551768
115	0.3824145306
116	0.3821376564
117	0.3819590234
118	0.3816444503
119	0.3814997208
120	0.3813940623
121	0.3812062321
122	0.3809344832
123	0.3808156145
124	0.3806022276
125	0.3805207625
126	0.3803809075
127	0.3802765515
128	0.3800377287
129	0.3797983816
130	0.3796210903
131	0.3793755524
132	0.3791349758
133	0.3789586136
134	0.3787316632
135	0.378488182
136	0.378409833
137	0.3781948031
138	0.3779800332
139	0.3777809434
140	0.3776239881
141	0.3775270722
142	0.3773235479
143	0.3772614877
144	0.377078415
145	0.3769565943
146	0.3768882702
147	0.3768319153
148	0.3766965885
149	0.3766060505
150	0.3764203063
151	0.376343747
152	0.3762551359
153	0.3761288782
154	0.3759666634
155	0.3757104715
156	0.3755151192
157	0.3753865257
158	0.3751481836
159	0.3750297759
160	0.3748563149
161	0.3747540544
162	0.374303306
163	0.3740621598
164	0.3739403082
165	0.3738573968
166	0.3736945599
167	0.3735603025
168	0.373388568
169	0.3732672782
170	0.3730589669
171	0.372856689
172	0.3726146082
173	0.3724369818
174	0.3723156561
175	0.3722034913
176	0.3720846297
177	0.3719452878
178	0.3718658421
179	0.371690717
180	0.3716108926
181	0.3714980283
182	0.3713462189
183	0.3712540671
184	0.3711901441
185	0.3710819478
186	0.3710177753
187	0.3708867209
188	0.3706664496
189	0.3706142578
190	0.3704808617
191	0.370395103
192	0.3701508736
193	0.370110295
194	0.369993716
195	0.3699072072
196	0.3697513995
197	0.3697117579
198	0.3696239384
199	0.3695055171
200	0.3694105371
201	0.3693513144
202	0.3692533515
203	0.3691424946
204	0.3690350963
205	0.368886955
206	0.3687017613
207	0.3685092426
208	0.3684287282
209	0.3683967715
210	0.3680658263
211	0.3679033707
212	0.3676963469
213	0.3675949735
214	0.3675464509
215	0.367453909
216	0.3672914255
217	0.3672043325
218	0.3670877728
219	0.3670589888
220	0.3669302691
221	0.3666195792
222	0.3665700599
223	0.3664533711
224	0.3663131835
225	0.3661994093
226	0.3661275506
227	0.366087388
228	0.3660092302
229	0.3658701854
230	0.3657872213
231	0.3657486404
232	0.3656852966
233	0.3655313096
234	0.3654639831
235	0.3653419479
236	0.3651369922
237	0.3650640791
238	0.365028237
239	0.3649641555
240	0.3649149627
241	0.364778102
242	0.364571045
243	0.3645299747
244	0.3644107543
245	0.3643258939
246	0.3639759587
247	0.363893055
248	0.3638445834
249	0.3637991304
250	0.3636320848
251	0.3634901896
252	0.3634116483
253	0.3633485923
254	0.3632664323
255	0.363112072
256	0.3630737751
257	0.3630344188
258	0.3628549989
259	0.3628200162
260	0.362760621
261	0.3626142744
262	0.3625663104
263	0.3625200818
264	0.362449955
265	0.3623938796
266	0.3623418869
267	0.3622918139
268	0.3622475715
269	0.362184044
270	0.362053568
271	0.3620090698
272	0.3619659236
273	0.361933534
274	0.3618771729
275	0.3618478708
276	0.3618280638
277	0.3617749876
278	0.3617240767
279	0.3615903269
280	0.361508418
281	0.3613500284
282	0.3612552887
283	0.3611497253
284	0.3610285461
285	0.3609517792
286	0.360868152
