iter	Passed	Remaining
0	19	29540
1	23	17532
2	26	13155
3	30	11221
4	33	9976
5	36	9209
6	40	8576
7	43	8189
8	47	7856
9	51	7634
10	54	7417
11	58	7231
12	61	7088
13	65	6997
14	69	6871
15	72	6743
16	76	6644
17	79	6538
18	82	6446
19	86	6384
20	89	6312
21	92	6221
22	95	6150
23	98	6078
24	101	6006
25	104	5939
26	107	5880
27	110	5822
28	113	5768
29	116	5721
30	119	5670
31	122	5627
32	125	5585
33	128	5550
34	131	5517
35	135	5491
36	137	5455
37	140	5420
38	143	5392
39	147	5365
40	150	5339
41	152	5311
42	156	5287
43	159	5263
44	162	5240
45	165	5221
46	168	5201
47	171	5183
48	174	5161
49	177	5146
50	180	5132
51	183	5112
52	186	5097
53	189	5080
54	192	5070
55	196	5058
56	199	5043
57	202	5028
58	205	5015
59	208	5003
60	211	4992
61	214	4981
62	217	4970
63	220	4957
64	224	4946
65	227	4934
66	230	4923
67	233	4914
68	236	4907
69	239	4894
70	242	4882
71	245	4875
72	248	4864
73	251	4855
74	255	4849
75	258	4839
76	261	4829
77	264	4820
78	267	4810
79	270	4799
80	273	4792
81	276	4784
82	279	4778
83	283	4771
84	286	4762
85	289	4754
86	292	4746
87	295	4741
88	298	4733
89	301	4725
90	304	4717
91	307	4712
92	311	4706
93	314	4704
94	317	4701
95	321	4698
96	324	4695
97	328	4694
98	331	4691
99	334	4687
100	338	4683
101	341	4679
102	345	4679
103	348	4676
104	351	4671
105	355	4668
106	358	4665
107	361	4661
108	364	4656
109	368	4650
110	371	4647
111	374	4643
112	378	4641
113	381	4640
114	385	4640
115	388	4639
116	392	4639
117	396	4638
118	399	4635
119	402	4633
120	406	4630
121	409	4626
122	413	4625
123	416	4622
124	419	4619
125	423	4614
126	427	4619
127	430	4617
128	434	4615
129	437	4611
130	441	4610
131	444	4606
132	448	4605
133	451	4602
134	454	4598
135	458	4595
136	461	4589
137	464	4584
138	467	4580
139	471	4579
140	474	4576
141	477	4571
142	481	4568
143	484	4564
144	487	4559
145	491	4557
146	494	4552
147	497	4546
148	501	4545
149	504	4540
150	508	4544
151	512	4542
152	515	4536
153	518	4531
154	521	4526
155	524	4522
156	528	4517
157	531	4513
158	534	4507
159	537	4502
160	540	4497
161	543	4491
162	547	4486
163	550	4482
164	553	4477
165	556	4471
166	559	4466
167	562	4462
168	566	4458
169	569	4452
170	572	4448
171	575	4444
172	578	4439
173	581	4434
174	585	4429
175	588	4424
176	591	4419
177	594	4414
178	597	4408
179	600	4404
180	603	4400
181	606	4395
182	610	4390
183	613	4385
184	616	4381
185	619	4376
186	622	4370
187	625	4365
188	628	4361
189	631	4356
190	634	4351
191	638	4346
192	641	4342
193	644	4336
194	647	4331
195	650	4326
196	653	4321
197	656	4316
198	659	4311
199	662	4306
200	665	4302
201	668	4298
202	672	4294
203	675	4289
204	678	4285
205	681	4281
206	684	4276
207	687	4272
208	690	4267
209	693	4261
210	696	4257
211	699	4252
212	703	4248
213	706	4244
214	709	4238
215	712	4234
216	715	4230
217	718	4225
218	721	4222
219	724	4217
220	727	4212
221	731	4208
222	734	4203
223	737	4199
224	740	4195
225	743	4192
226	746	4189
227	750	4184
228	753	4180
229	756	4176
230	759	4172
231	762	4167
232	765	4162
233	768	4159
234	772	4157
235	775	4153
236	778	4149
237	781	4145
238	784	4140
239	787	4136
240	790	4131
241	794	4128
242	797	4124
243	800	4120
244	803	4117
245	806	4112
246	809	4108
247	813	4104
248	816	4100
249	819	4095
250	822	4092
251	825	4089
252	829	4086
253	832	4081
254	835	4077
255	838	4073
256	841	4069
257	844	4064
258	847	4060
259	850	4056
260	853	4052
261	856	4048
262	859	4043
263	862	4039
264	865	4035
265	868	4030
266	871	4026
267	874	4022
268	878	4018
269	881	4013
270	884	4009
271	887	4005
272	890	4000
273	893	3996
274	896	3992
275	899	3988
276	902	3983
277	905	3979
278	908	3975
279	912	3973
280	915	3971
281	919	3970
282	922	3969
283	926	3967
284	930	3966
285	934	3965
286	937	3962
287	941	3960
288	944	3957
289	947	3954
290	950	3950
291	954	3946
292	957	3942
293	960	3938
294	963	3934
295	966	3930
296	969	3926
297	972	3924
298	976	3921
299	979	3917
300	982	3914
301	986	3911
302	989	3908
303	992	3904
304	996	3902
305	999	3899
306	1002	3895
307	1005	3891
308	1008	3887
309	1011	3884
310	1014	3880
311	1018	3877
312	1021	3873
313	1024	3869
314	1027	3865
315	1030	3861
316	1034	3858
317	1037	3854
318	1040	3850
319	1043	3846
320	1046	3843
321	1049	3840
322	1052	3836
323	1055	3831
324	1058	3827
325	1061	3822
326	1064	3818
327	1067	3815
328	1070	3811
329	1073	3807
330	1077	3804
331	1080	3800
332	1083	3796
333	1086	3792
334	1089	3788
335	1092	3784
336	1095	3780
337	1098	3777
338	1101	3774
339	1104	3769
340	1108	3766
341	1111	3762
342	1114	3759
343	1117	3755
344	1120	3750
345	1123	3747
346	1126	3744
347	1129	3740
348	1133	3737
349	1136	3734
350	1139	3730
351	1142	3726
352	1145	3722
353	1148	3719
354	1152	3715
355	1155	3713
356	1158	3709
357	1162	3707
358	1165	3703
359	1168	3700
360	1171	3697
361	1175	3694
362	1178	3690
363	1181	3687
364	1184	3683
365	1187	3680
366	1190	3675
367	1193	3672
368	1196	3668
369	1199	3664
370	1202	3660
371	1206	3657
372	1209	3653
373	1212	3649
374	1215	3646
375	1218	3642
376	1221	3638
377	1224	3634
378	1227	3631
379	1230	3627
380	1233	3623
381	1237	3620
382	1240	3616
383	1243	3613
384	1246	3609
385	1249	3606
386	1252	3602
387	1255	3599
388	1258	3595
389	1262	3592
390	1265	3588
391	1268	3585
392	1271	3581
393	1274	3577
394	1277	3574
395	1280	3570
396	1283	3566
397	1286	3563
398	1290	3560
399	1293	3556
400	1296	3553
401	1299	3549
402	1302	3545
403	1305	3542
404	1308	3538
405	1312	3535
406	1315	3532
407	1318	3529
408	1322	3527
409	1325	3524
410	1329	3521
411	1332	3518
412	1335	3514
413	1338	3511
414	1341	3507
415	1345	3504
416	1348	3501
417	1351	3497
418	1354	3494
419	1357	3490
420	1360	3487
421	1363	3484
422	1367	3480
423	1370	3477
424	1373	3473
425	1376	3469
426	1379	3466
427	1382	3462
428	1385	3459
429	1388	3455
430	1392	3452
431	1395	3449
432	1398	3446
433	1401	3443
434	1404	3438
435	1407	3435
436	1410	3431
437	1413	3428
438	1416	3424
439	1420	3421
440	1423	3418
441	1426	3414
442	1429	3411
443	1433	3408
444	1436	3405
445	1439	3402
446	1443	3399
447	1446	3396
448	1449	3392
449	1452	3389
450	1455	3385
451	1459	3382
452	1462	3379
453	1465	3375
454	1468	3372
455	1471	3369
456	1474	3365
457	1477	3361
458	1480	3358
459	1483	3354
460	1486	3351
461	1490	3347
462	1493	3345
463	1496	3341
464	1499	3338
465	1502	3334
466	1505	3330
467	1508	3327
468	1512	3324
469	1515	3320
470	1518	3317
471	1521	3314
472	1524	3310
473	1528	3307
474	1531	3304
475	1534	3300
476	1537	3296
477	1540	3293
478	1543	3290
479	1547	3287
480	1550	3283
481	1553	3280
482	1556	3277
483	1559	3273
484	1562	3270
485	1565	3267
486	1568	3263
487	1572	3260
488	1575	3256
489	1578	3253
490	1581	3250
491	1584	3247
492	1588	3243
493	1591	3240
494	1594	3236
495	1597	3233
496	1600	3229
497	1603	3226
498	1606	3223
499	1610	3220
500	1613	3216
501	1616	3213
502	1619	3209
503	1622	3206
504	1625	3203
505	1629	3200
506	1631	3196
507	1635	3192
508	1638	3189
509	1641	3185
510	1644	3182
511	1647	3179
512	1650	3175
513	1653	3172
514	1657	3169
515	1660	3166
516	1663	3162
517	1666	3159
518	1669	3155
519	1672	3152
520	1675	3149
521	1678	3145
522	1682	3142
523	1685	3138
524	1688	3135
525	1691	3132
526	1694	3129
527	1697	3125
528	1700	3122
529	1703	3118
530	1707	3116
531	1710	3112
532	1713	3109
533	1716	3105
534	1719	3102
535	1723	3098
536	1726	3095
537	1729	3092
538	1732	3088
539	1735	3085
540	1738	3082
541	1741	3078
542	1744	3075
543	1747	3071
544	1750	3068
545	1754	3065
546	1757	3062
547	1760	3058
548	1763	3055
549	1766	3052
550	1770	3048
551	1773	3045
552	1776	3041
553	1779	3038
554	1782	3035
555	1785	3031
556	1788	3028
557	1792	3025
558	1795	3022
559	1798	3018
560	1801	3015
561	1804	3011
562	1807	3008
563	1810	3005
564	1814	3001
565	1817	2998
566	1820	2995
567	1823	2992
568	1826	2989
569	1830	2985
570	1833	2982
571	1836	2979
572	1839	2975
573	1842	2972
574	1845	2969
575	1848	2965
576	1851	2962
577	1854	2958
578	1858	2955
579	1861	2952
580	1864	2949
581	1867	2945
582	1870	2942
583	1874	2939
584	1877	2936
585	1880	2933
586	1883	2929
587	1886	2925
588	1889	2922
